Participant,Image,Response,RT
A9,images/image_18.jpg,up,0.5256580000277609
A9,images/image_19.jpg,,1.0
A9,images/image_20.jpg,left,0.8275616000173613
A9,images/image_16.jpg,left,0.7692732999566942
A9,images/image_17.jpg,left,0.346545199980028
A9,images/image_18.jpg,up,0.1968722000019624
A9,images/image_19.jpg,left,0.2508295000297948
A9,images/image_20.jpg,left,0.4470928000519052
A9,images/image_21.jpg,up,0.8201790999155492
A9,images/image_22.jpg,up,0.3124768999405205
A9,images/image_23.jpg,up,0.3422751999460161
A9,images/image_24.jpg,up,0.3468286000424996
A9,images/image_25.jpg,left,0.6401758999563754
A9,images/image_21.jpg,up,0.3530636000214144
